iTx iRx chrec frequency/Hz RMSE x y z
23 1 Ex 0.25 8.620632e-01 -3928.2 -9196.15 790
23 2 Ex 0.25 1.214840e+00 -3755 -9096.15 790
23 3 Ex 0.25 1.654493e+00 -3581.79 -8996.15 790
23 4 Ex 0.25 9.325825e-01 -3408.59 -8896.15 790
23 5 Ex 0.25 1.351901e+00 -3235.38 -8796.15 790
23 6 Ex 0.25 3.548591e-01 -3062.18 -8696.15 790
23 7 Ex 0.25 2.246418e-01 -2888.97 -8596.15 790
23 8 Ex 0.25 4.559996e-01 -2715.77 -8496.15 790
23 9 Ex 0.25 1.022628e+00 -2542.56 -8396.15 790
23 10 Ex 0.25 9.100755e-01 -2369.36 -8296.15 790
23 11 Ex 0.25 8.676659e-01 -2196.15 -8196.15 790
23 12 Ex 0.25 3.992118e-01 -2022.95 -8096.15 790
23 13 Ex 0.25 2.431418e-02 -1849.74 -7996.15 790
23 14 Ex 0.25 3.536060e-01 -1676.54 -7896.15 790
23 15 Ex 0.25 1.069924e+00 -1503.33 -7796.15 790
23 16 Ex 0.25 1.128967e+00 -1330.13 -7696.15 790
23 17 Ex 0.25 2.744989e-01 -1156.92 -7596.15 790
23 18 Ex 0.25 1.073707e+00 -983.717 -7496.15 790
23 19 Ex 0.25 3.543879e-01 -810.512 -7396.15 790
23 20 Ex 0.25 1.655299e+00 -637.307 -7296.15 790
23 21 Ex 0.25 5.835752e-01 -464.102 -7196.15 790
23 22 Ex 0.25 5.158727e-01 -290.896 -7096.15 790
23 23 Ex 0.25 3.625438e-01 -117.691 -6996.15 790
23 24 Ex 0.25 1.045478e+00 55.5137 -6896.15 790
23 25 Ex 0.25 4.911576e-01 228.719 -6796.15 790
23 26 Ex 0.25 1.001860e+00 401.924 -6696.15 790
23 27 Ex 0.25 7.037737e-01 575.129 -6596.15 790
23 28 Ex 0.25 1.637600e+00 748.334 -6496.15 790
23 29 Ex 0.25 6.490698e-01 921.539 -6396.15 790
23 30 Ex 0.25 7.423608e-01 1094.74 -6296.15 790
23 31 Ex 0.25 3.594798e-01 1267.95 -6196.15 790
23 32 Ex 0.25 9.302192e-01 1441.15 -6096.15 790
23 33 Ex 0.25 9.090339e-01 1614.36 -5996.15 790
23 34 Ex 0.25 1.066811e+00 1787.56 -5896.15 790
23 35 Ex 0.25 8.997706e-01 1960.77 -5796.15 790
23 36 Ex 0.25 1.348647e+00 2133.97 -5696.15 790
23 37 Ex 0.25 9.597916e-01 2307.18 -5596.15 790
23 38 Ex 0.25 1.660631e+00 2480.38 -5496.15 790
23 39 Ex 0.25 5.191182e-01 2653.59 -5396.15 790
23 40 Ex 0.25 2.395871e+00 2826.79 -5296.15 790
23 41 Ex 0.25 6.409594e-01 3000 -5196.15 790
23 42 Ex 0.25 8.054253e-01 3173.21 -5096.15 790
23 43 Ex 0.25 1.060676e+00 3346.41 -4996.15 790
23 44 Ex 0.25 1.355529e+00 3519.62 -4896.15 790
23 45 Ex 0.25 7.868517e-01 3692.82 -4796.15 790
23 46 Ex 0.25 1.543423e+00 3866.03 -4696.15 790
23 47 Ex 0.25 7.392445e-01 4039.23 -4596.15 790
23 48 Ex 0.25 7.279051e-01 4212.44 -4496.15 790
23 49 Ex 0.25 3.956755e-01 4385.64 -4396.15 790
23 50 Ex 0.25 1.202918e+00 4558.85 -4296.15 790
23 51 Ex 0.25 8.762124e-01 4732.05 -4196.15 790
23 52 Ex 0.25 2.131083e-01 4905.26 -4096.15 790
23 53 Ex 0.25 1.068767e+00 5078.46 -3996.15 790
23 54 Ex 0.25 1.550806e+00 5251.67 -3896.15 790
23 55 Ex 0.25 3.565611e-01 5424.87 -3796.15 790
23 56 Ex 0.25 1.421968e+00 5598.08 -3696.15 790
23 57 Ex 0.25 4.607351e-01 5771.28 -3596.15 790
23 58 Ex 0.25 9.377149e-01 5944.49 -3496.15 790
23 59 Ex 0.25 6.860657e-01 6117.69 -3396.15 790
23 60 Ex 0.25 9.712168e-01 6290.9 -3296.15 790
23 61 Ex 0.25 1.224374e+00 6464.1 -3196.15 790
23 62 Ex 0.25 1.993230e+00 6637.31 -3096.15 790
23 63 Ex 0.25 5.100782e-01 6810.51 -2996.15 790
23 64 Ex 0.25 1.981406e+00 6983.72 -2896.15 790
23 65 Ex 0.25 4.681621e-01 7156.92 -2796.15 790
23 66 Ex 0.25 1.300484e+00 7330.13 -2696.15 790
23 67 Ex 0.25 1.297769e+00 7503.33 -2596.15 790
23 68 Ex 0.25 7.956034e-01 7676.54 -2496.15 790
23 69 Ex 0.25 9.891236e-01 7849.74 -2396.15 790
23 70 Ex 0.25 6.174619e-01 8022.95 -2296.15 790
23 71 Ex 0.25 8.883045e-01 8196.15 -2196.15 790
23 72 Ex 0.25 7.226229e-01 8369.36 -2096.15 790
23 73 Ex 0.25 1.719302e+00 8542.56 -1996.15 790
23 74 Ex 0.25 6.110779e-01 8715.77 -1896.15 790
23 75 Ex 0.25 2.018106e-01 8888.97 -1796.15 790
23 76 Ex 0.25 9.733681e-01 9062.18 -1696.15 790
23 77 Ex 0.25 1.765887e-01 9235.38 -1596.15 790
23 78 Ex 0.25 1.755538e+00 9408.59 -1496.15 790
23 79 Ex 0.25 4.386312e-01 9581.79 -1396.15 790
23 80 Ex 0.25 1.855856e+00 9755 -1296.15 790
23 81 Ex 0.25 1.573088e+00 9928.2 -1196.15 790
23 82 Ex 0.25 1.208206e+00 -5428.2 -6598.08 790
23 83 Ex 0.25 4.946689e-01 -5255 -6498.08 790
23 84 Ex 0.25 1.050660e+00 -5081.79 -6398.08 790
23 85 Ex 0.25 1.431192e-01 -4908.59 -6298.08 790
23 86 Ex 0.25 1.706263e+00 -4735.38 -6198.08 790
23 87 Ex 0.25 1.276380e+00 -4562.18 -6098.08 790
23 88 Ex 0.25 8.115816e-01 -4388.97 -5998.08 790
23 89 Ex 0.25 3.010234e-01 -4215.77 -5898.08 790
23 90 Ex 0.25 1.481742e+00 -4042.56 -5798.08 790
