iTx iRx chrec frequency/Hz RMSE x y z
11 1 Ex 0.25 3.867524e+00 -3928.2 -9196.15 790
11 2 Ex 0.25 3.286234e+00 -3755 -9096.15 790
11 3 Ex 0.25 4.137383e+00 -3581.79 -8996.15 790
11 4 Ex 0.25 1.597884e+00 -3408.59 -8896.15 790
11 5 Ex 0.25 3.197850e+00 -3235.38 -8796.15 790
11 6 Ex 0.25 1.808192e+00 -3062.18 -8696.15 790
11 7 Ex 0.25 2.105591e+00 -2888.97 -8596.15 790
11 8 Ex 0.25 1.309128e+00 -2715.77 -8496.15 790
11 9 Ex 0.25 1.123649e+00 -2542.56 -8396.15 790
11 10 Ex 0.25 7.164052e-01 -2369.36 -8296.15 790
11 11 Ex 0.25 1.877798e+00 -2196.15 -8196.15 790
11 12 Ex 0.25 1.377762e+00 -2022.95 -8096.15 790
11 13 Ex 0.25 1.316208e+00 -1849.74 -7996.15 790
11 14 Ex 0.25 1.624624e+00 -1676.54 -7896.15 790
11 15 Ex 0.25 1.333182e+00 -1503.33 -7796.15 790
11 16 Ex 0.25 4.491344e-01 -1330.13 -7696.15 790
11 17 Ex 0.25 1.179834e+00 -1156.92 -7596.15 790
11 18 Ex 0.25 1.953528e+00 -983.717 -7496.15 790
11 19 Ex 0.25 1.247841e+00 -810.512 -7396.15 790
11 20 Ex 0.25 2.650339e+00 -637.307 -7296.15 790
11 21 Ex 0.25 1.531113e+00 -464.102 -7196.15 790
11 22 Ex 0.25 5.749393e-01 -290.896 -7096.15 790
11 23 Ex 0.25 1.094295e+00 -117.691 -6996.15 790
11 24 Ex 0.25 5.506834e-01 55.5137 -6896.15 790
11 25 Ex 0.25 6.355320e-01 228.719 -6796.15 790
11 26 Ex 0.25 8.485358e-01 401.924 -6696.15 790
11 27 Ex 0.25 9.209663e-01 575.129 -6596.15 790
11 28 Ex 0.25 2.289482e+00 748.334 -6496.15 790
11 29 Ex 0.25 8.006730e-01 921.539 -6396.15 790
11 30 Ex 0.25 1.497511e-01 1094.74 -6296.15 790
11 31 Ex 0.25 4.059424e-01 1267.95 -6196.15 790
11 32 Ex 0.25 7.574552e-01 1441.15 -6096.15 790
11 33 Ex 0.25 1.301457e+00 1614.36 -5996.15 790
11 34 Ex 0.25 1.261925e+00 1787.56 -5896.15 790
11 35 Ex 0.25 1.095896e+00 1960.77 -5796.15 790
11 36 Ex 0.25 1.333934e+00 2133.97 -5696.15 790
11 37 Ex 0.25 9.107767e-01 2307.18 -5596.15 790
11 38 Ex 0.25 1.654783e+00 2480.38 -5496.15 790
11 39 Ex 0.25 4.630255e-01 2653.59 -5396.15 790
11 40 Ex 0.25 2.507663e+00 2826.79 -5296.15 790
11 41 Ex 0.25 8.519992e-01 3000 -5196.15 790
11 42 Ex 0.25 5.652546e-01 3173.21 -5096.15 790
11 43 Ex 0.25 1.120537e+00 3346.41 -4996.15 790
11 44 Ex 0.25 1.177943e+00 3519.62 -4896.15 790
11 45 Ex 0.25 1.031373e+00 3692.82 -4796.15 790
11 46 Ex 0.25 1.778940e+00 3866.03 -4696.15 790
11 47 Ex 0.25 7.626582e-01 4039.23 -4596.15 790
11 48 Ex 0.25 6.016463e-01 4212.44 -4496.15 790
11 49 Ex 0.25 5.748358e-01 4385.64 -4396.15 790
11 50 Ex 0.25 1.537755e+00 4558.85 -4296.15 790
11 51 Ex 0.25 1.002919e+00 4732.05 -4196.15 790
11 52 Ex 0.25 5.765774e-01 4905.26 -4096.15 790
11 53 Ex 0.25 8.059916e-01 5078.46 -3996.15 790
11 54 Ex 0.25 1.262888e+00 5251.67 -3896.15 790
11 55 Ex 0.25 1.015643e-01 5424.87 -3796.15 790
11 56 Ex 0.25 1.503763e+00 5598.08 -3696.15 790
11 57 Ex 0.25 4.698326e-01 5771.28 -3596.15 790
11 58 Ex 0.25 5.963066e-01 5944.49 -3496.15 790
11 59 Ex 0.25 9.930646e-01 6117.69 -3396.15 790
11 60 Ex 0.25 1.029265e+00 6290.9 -3296.15 790
11 61 Ex 0.25 1.520653e+00 6464.1 -3196.15 790
11 62 Ex 0.25 1.736275e+00 6637.31 -3096.15 790
11 63 Ex 0.25 7.736279e-01 6810.51 -2996.15 790
11 64 Ex 0.25 2.174844e+00 6983.72 -2896.15 790
11 65 Ex 0.25 5.096325e-01 7156.92 -2796.15 790
11 66 Ex 0.25 1.081991e+00 7330.13 -2696.15 790
11 67 Ex 0.25 1.307427e+00 7503.33 -2596.15 790
11 68 Ex 0.25 5.999180e-01 7676.54 -2496.15 790
11 69 Ex 0.25 8.855282e-01 7849.74 -2396.15 790
11 70 Ex 0.25 5.488538e-01 8022.95 -2296.15 790
11 71 Ex 0.25 1.053445e+00 8196.15 -2196.15 790
11 72 Ex 0.25 6.117216e-01 8369.36 -2096.15 790
11 73 Ex 0.25 1.597363e+00 8542.56 -1996.15 790
11 74 Ex 0.25 7.260224e-01 8715.77 -1896.15 790
11 75 Ex 0.25 1.141393e-01 8888.97 -1796.15 790
11 76 Ex 0.25 1.002949e+00 9062.18 -1696.15 790
11 77 Ex 0.25 2.142991e-01 9235.38 -1596.15 790
11 78 Ex 0.25 1.730649e+00 9408.59 -1496.15 790
11 79 Ex 0.25 4.245439e-01 9581.79 -1396.15 790
11 80 Ex 0.25 1.902341e+00 9755 -1296.15 790
11 81 Ex 0.25 1.611751e+00 9928.2 -1196.15 790
11 82 Ex 0.25 8.597946e-01 -5428.2 -6598.08 790
11 83 Ex 0.25 3.060693e-01 -5255 -6498.08 790
11 84 Ex 0.25 1.269869e+00 -5081.79 -6398.08 790
11 85 Ex 0.25 2.871440e-01 -4908.59 -6298.08 790
11 86 Ex 0.25 1.821989e+00 -4735.38 -6198.08 790
11 87 Ex 0.25 1.353750e+00 -4562.18 -6098.08 790
11 88 Ex 0.25 8.687465e-01 -4388.97 -5998.08 790
11 89 Ex 0.25 2.840829e-01 -4215.77 -5898.08 790
11 90 Ex 0.25 0.000000e+00 -4042.56 -5798.08 790
11 91 Ex 0.25 0.000000e+00 -3869.36 -5698.08 790
11 92 Ex 0.25 0.000000e+00 -3696.15 -5598.08 790
11 93 Ex 0.25 0.000000e+00 -3522.95 -5498.08 790
11 94 Ex 0.25 0.000000e+00 -3349.74 -5398.08 790
11 95 Ex 0.25 5.808250e-01 -3176.54 -5298.08 790
11 96 Ex 0.25 1.060173e-01 -3003.33 -5198.08 790
11 97 Ex 0.25 2.617275e-01 -2830.13 -5098.08 790
11 98 Ex 0.25 9.146823e-01 -2656.92 -4998.08 790
11 99 Ex 0.25 4.711504e-01 -2483.72 -4898.08 790
11 100 Ex 0.25 9.949868e-01 -2310.51 -4798.08 790
11 101 Ex 0.25 3.872710e-01 -2137.31 -4698.08 790
11 102 Ex 0.25 1.376171e+00 -1964.1 -4598.08 790
11 103 Ex 0.25 1.020206e+00 -1790.9 -4498.08 790
11 104 Ex 0.25 3.519991e-01 -1617.69 -4398.08 790
11 105 Ex 0.25 2.162674e+00 -1444.49 -4298.08 790
11 106 Ex 0.25 1.495744e+00 -1271.28 -4198.08 790
11 107 Ex 0.25 6.567097e-01 -1098.08 -4098.08 790
11 108 Ex 0.25 1.457554e+00 -924.871 -3998.08 790
