iTx iRx chrec frequency/Hz RMSE x y z
9 1 Ex 0.25 1.326266e+00 -3928.2 -9196.15 790
9 2 Ex 0.25 1.746346e+00 -3755 -9096.15 790
9 3 Ex 0.25 1.642183e+00 -3581.79 -8996.15 790
9 4 Ex 0.25 1.289843e+00 -3408.59 -8896.15 790
9 5 Ex 0.25 1.927408e+00 -3235.38 -8796.15 790
9 6 Ex 0.25 5.303676e-01 -3062.18 -8696.15 790
9 7 Ex 0.25 8.993344e-01 -2888.97 -8596.15 790
9 8 Ex 0.25 9.666201e-01 -2715.77 -8496.15 790
9 9 Ex 0.25 1.738675e+00 -2542.56 -8396.15 790
9 10 Ex 0.25 1.655058e+00 -2369.36 -8296.15 790
9 11 Ex 0.25 1.132694e+00 -2196.15 -8196.15 790
9 12 Ex 0.25 1.125100e+00 -2022.95 -8096.15 790
9 13 Ex 0.25 9.630537e-01 -1849.74 -7996.15 790
9 14 Ex 0.25 1.054742e+00 -1676.54 -7896.15 790
9 15 Ex 0.25 1.146271e+00 -1503.33 -7796.15 790
9 16 Ex 0.25 1.820397e+00 -1330.13 -7696.15 790
9 17 Ex 0.25 8.049196e-01 -1156.92 -7596.15 790
9 18 Ex 0.25 4.241906e-01 -983.717 -7496.15 790
9 19 Ex 0.25 7.977979e-01 -810.512 -7396.15 790
9 20 Ex 0.25 5.822374e-01 -637.307 -7296.15 790
9 21 Ex 0.25 5.828145e-01 -464.102 -7196.15 790
9 22 Ex 0.25 1.676696e+00 -290.896 -7096.15 790
9 23 Ex 0.25 8.871997e-01 -117.691 -6996.15 790
9 24 Ex 0.25 1.510298e+00 55.5137 -6896.15 790
9 25 Ex 0.25 5.930669e-01 228.719 -6796.15 790
9 26 Ex 0.25 1.604773e+00 401.924 -6696.15 790
9 27 Ex 0.25 1.624794e-01 575.129 -6596.15 790
9 28 Ex 0.25 1.605598e+00 748.334 -6496.15 790
9 29 Ex 0.25 5.108894e-01 921.539 -6396.15 790
9 30 Ex 0.25 7.428208e-01 1094.74 -6296.15 790
9 31 Ex 0.25 1.113992e-01 1267.95 -6196.15 790
9 32 Ex 0.25 9.805042e-01 1441.15 -6096.15 790
9 33 Ex 0.25 1.226799e+00 1614.36 -5996.15 790
9 34 Ex 0.25 1.095530e+00 1787.56 -5896.15 790
9 35 Ex 0.25 1.220613e+00 1960.77 -5796.15 790
9 36 Ex 0.25 1.693214e+00 2133.97 -5696.15 790
9 37 Ex 0.25 8.713946e-01 2307.18 -5596.15 790
9 38 Ex 0.25 2.958448e+00 2480.38 -5496.15 790
9 39 Ex 0.25 2.243740e+00 2653.59 -5396.15 790
9 40 Ex 0.25 1.024517e+00 2826.79 -5296.15 790
9 41 Ex 0.25 1.509816e+00 3000 -5196.15 790
9 42 Ex 0.25 1.981871e+00 3173.21 -5096.15 790
9 43 Ex 0.25 2.501881e+00 3346.41 -4996.15 790
9 44 Ex 0.25 5.615222e-01 3519.62 -4896.15 790
9 45 Ex 0.25 1.626837e+00 3692.82 -4796.15 790
9 46 Ex 0.25 1.505826e+00 3866.03 -4696.15 790
9 47 Ex 0.25 1.444610e+00 4039.23 -4596.15 790
9 48 Ex 0.25 1.230016e+00 4212.44 -4496.15 790
9 49 Ex 0.25 1.035908e+00 4385.64 -4396.15 790
9 50 Ex 0.25 1.624393e+00 4558.85 -4296.15 790
9 51 Ex 0.25 9.888121e-01 4732.05 -4196.15 790
9 52 Ex 0.25 7.551919e-01 4905.26 -4096.15 790
9 53 Ex 0.25 6.403989e-01 5078.46 -3996.15 790
9 54 Ex 0.25 0.000000e+00 5251.67 -3896.15 790
9 55 Ex 0.25 0.000000e+00 5424.87 -3796.15 790
9 56 Ex 0.25 0.000000e+00 5598.08 -3696.15 790
9 57 Ex 0.25 0.000000e+00 5771.28 -3596.15 790
9 58 Ex 0.25 0.000000e+00 5944.49 -3496.15 790
9 59 Ex 0.25 1.226065e+00 6117.69 -3396.15 790
9 60 Ex 0.25 6.141858e-01 6290.9 -3296.15 790
9 61 Ex 0.25 1.653045e+00 6464.1 -3196.15 790
9 62 Ex 0.25 1.392172e+00 6637.31 -3096.15 790
9 63 Ex 0.25 1.118460e+00 6810.51 -2996.15 790
9 64 Ex 0.25 2.772402e+00 6983.72 -2896.15 790
9 65 Ex 0.25 1.238034e+00 7156.92 -2796.15 790
9 66 Ex 0.25 1.354347e+00 7330.13 -2696.15 790
9 67 Ex 0.25 4.012446e-01 7503.33 -2596.15 790
9 68 Ex 0.25 8.167579e-01 7676.54 -2496.15 790
9 69 Ex 0.25 1.337382e+00 7849.74 -2396.15 790
9 70 Ex 0.25 3.562002e-01 8022.95 -2296.15 790
9 71 Ex 0.25 1.450398e+00 8196.15 -2196.15 790
9 72 Ex 0.25 1.356186e+00 8369.36 -2096.15 790
9 73 Ex 0.25 2.894159e+00 8542.56 -1996.15 790
9 74 Ex 0.25 1.541915e+00 8715.77 -1896.15 790
9 75 Ex 0.25 1.258365e+00 8888.97 -1796.15 790
9 76 Ex 0.25 2.377135e-01 9062.18 -1696.15 790
9 77 Ex 0.25 6.187176e-01 9235.38 -1596.15 790
9 78 Ex 0.25 1.921269e+00 9408.59 -1496.15 790
9 79 Ex 0.25 1.241141e+00 9581.79 -1396.15 790
9 80 Ex 0.25 2.881065e+00 9755 -1296.15 790
9 81 Ex 0.25 4.730799e+00 9928.2 -1196.15 790
9 82 Ex 0.25 7.849008e-01 -5428.2 -6598.08 790
9 83 Ex 0.25 2.904163e-01 -5255 -6498.08 790
9 84 Ex 0.25 1.484111e+00 -5081.79 -6398.08 790
9 85 Ex 0.25 7.183452e-01 -4908.59 -6298.08 790
9 86 Ex 0.25 1.714823e+00 -4735.38 -6198.08 790
9 87 Ex 0.25 1.998851e+00 -4562.18 -6098.08 790
9 88 Ex 0.25 1.065716e+00 -4388.97 -5998.08 790
9 89 Ex 0.25 7.000599e-01 -4215.77 -5898.08 790
9 90 Ex 0.25 2.331527e+00 -4042.56 -5798.08 790
9 91 Ex 0.25 2.723422e+00 -3869.36 -5698.08 790
9 92 Ex 0.25 1.094907e+00 -3696.15 -5598.08 790
9 93 Ex 0.25 1.680315e+00 -3522.95 -5498.08 790
9 94 Ex 0.25 3.697658e+00 -3349.74 -5398.08 790
9 95 Ex 0.25 1.517119e+00 -3176.54 -5298.08 790
9 96 Ex 0.25 1.284081e+00 -3003.33 -5198.08 790
9 97 Ex 0.25 1.488706e+00 -2830.13 -5098.08 790
9 98 Ex 0.25 1.509598e+00 -2656.92 -4998.08 790
9 99 Ex 0.25 1.082086e+00 -2483.72 -4898.08 790
9 100 Ex 0.25 2.029078e+00 -2310.51 -4798.08 790
9 101 Ex 0.25 1.393250e+00 -2137.31 -4698.08 790
9 102 Ex 0.25 1.906006e+00 -1964.1 -4598.08 790
9 103 Ex 0.25 1.449176e+00 -1790.9 -4498.08 790
9 104 Ex 0.25 1.190063e+00 -1617.69 -4398.08 790
9 105 Ex 0.25 1.297107e+00 -1444.49 -4298.08 790
9 106 Ex 0.25 3.208644e-01 -1271.28 -4198.08 790
9 107 Ex 0.25 5.928299e-01 -1098.08 -4098.08 790
9 108 Ex 0.25 2.056527e+00 -924.871 -3998.08 790
9 109 Ex 0.25 7.942852e-01 -751.666 -3898.08 790
