iTx iRx chrec frequency/Hz RMSE x y z
20 1 Ex 0.25 8.538012e-01 -3928.2 -9196.15 790
20 2 Ex 0.25 1.199436e+00 -3755 -9096.15 790
20 3 Ex 0.25 1.670548e+00 -3581.79 -8996.15 790
20 4 Ex 0.25 9.105471e-01 -3408.59 -8896.15 790
20 5 Ex 0.25 1.334693e+00 -3235.38 -8796.15 790
20 6 Ex 0.25 3.699454e-01 -3062.18 -8696.15 790
20 7 Ex 0.25 2.073982e-01 -2888.97 -8596.15 790
20 8 Ex 0.25 4.245497e-01 -2715.77 -8496.15 790
20 9 Ex 0.25 9.601123e-01 -2542.56 -8396.15 790
20 10 Ex 0.25 8.352633e-01 -2369.36 -8296.15 790
20 11 Ex 0.25 9.328225e-01 -2196.15 -8196.15 790
20 12 Ex 0.25 4.233153e-01 -2022.95 -8096.15 790
20 13 Ex 0.25 1.025023e-01 -1849.74 -7996.15 790
20 14 Ex 0.25 3.912703e-01 -1676.54 -7896.15 790
20 15 Ex 0.25 1.075860e+00 -1503.33 -7796.15 790
20 16 Ex 0.25 1.042084e+00 -1330.13 -7696.15 790
20 17 Ex 0.25 3.357883e-01 -1156.92 -7596.15 790
20 18 Ex 0.25 1.170670e+00 -983.717 -7496.15 790
20 19 Ex 0.25 4.435999e-01 -810.512 -7396.15 790
20 20 Ex 0.25 1.804325e+00 -637.307 -7296.15 790
20 21 Ex 0.25 7.399439e-01 -464.102 -7196.15 790
20 22 Ex 0.25 3.504809e-01 -290.896 -7096.15 790
20 23 Ex 0.25 5.158184e-01 -117.691 -6996.15 790
20 24 Ex 0.25 1.020874e+00 55.5137 -6896.15 790
20 25 Ex 0.25 6.341168e-01 228.719 -6796.15 790
20 26 Ex 0.25 7.854135e-01 401.924 -6696.15 790
20 27 Ex 0.25 9.213857e-01 575.129 -6596.15 790
20 28 Ex 0.25 1.759528e+00 748.334 -6496.15 790
20 29 Ex 0.25 8.254074e-01 921.539 -6396.15 790
20 30 Ex 0.25 6.195675e-01 1094.74 -6296.15 790
20 31 Ex 0.25 4.078492e-01 1267.95 -6196.15 790
20 32 Ex 0.25 7.021214e-01 1441.15 -6096.15 790
20 33 Ex 0.25 8.739811e-01 1614.36 -5996.15 790
20 34 Ex 0.25 9.480515e-01 1787.56 -5896.15 790
20 35 Ex 0.25 8.671624e-01 1960.77 -5796.15 790
20 36 Ex 0.25 1.550721e+00 2133.97 -5696.15 790
20 37 Ex 0.25 7.346841e-01 2307.18 -5596.15 790
20 38 Ex 0.25 1.552164e+00 2480.38 -5496.15 790
20 39 Ex 0.25 5.322061e-01 2653.59 -5396.15 790
20 40 Ex 0.25 2.399095e+00 2826.79 -5296.15 790
20 41 Ex 0.25 8.267320e-01 3000 -5196.15 790
20 42 Ex 0.25 7.202436e-01 3173.21 -5096.15 790
20 43 Ex 0.25 1.185497e+00 3346.41 -4996.15 790
20 44 Ex 0.25 1.199310e+00 3519.62 -4896.15 790
20 45 Ex 0.25 9.190152e-01 3692.82 -4796.15 790
20 46 Ex 0.25 1.619209e+00 3866.03 -4696.15 790
20 47 Ex 0.25 7.190062e-01 4039.23 -4596.15 790
20 48 Ex 0.25 6.504998e-01 4212.44 -4496.15 790
20 49 Ex 0.25 3.901304e-01 4385.64 -4396.15 790
20 50 Ex 0.25 1.267843e+00 4558.85 -4296.15 790
20 51 Ex 0.25 8.942026e-01 4732.05 -4196.15 790
20 52 Ex 0.25 2.319468e-01 4905.26 -4096.15 790
20 53 Ex 0.25 1.063745e+00 5078.46 -3996.15 790
20 54 Ex 0.25 1.582712e+00 5251.67 -3896.15 790
20 55 Ex 0.25 4.223736e-01 5424.87 -3796.15 790
20 56 Ex 0.25 1.429791e+00 5598.08 -3696.15 790
20 57 Ex 0.25 5.501889e-01 5771.28 -3596.15 790
20 58 Ex 0.25 1.075218e+00 5944.49 -3496.15 790
20 59 Ex 0.25 4.984181e-01 6117.69 -3396.15 790
20 60 Ex 0.25 1.161160e+00 6290.9 -3296.15 790
20 61 Ex 0.25 1.145304e+00 6464.1 -3196.15 790
20 62 Ex 0.25 2.218099e+00 6637.31 -3096.15 790
20 63 Ex 0.25 5.522265e-01 6810.51 -2996.15 790
20 64 Ex 0.25 1.694449e+00 6983.72 -2896.15 790
20 65 Ex 0.25 1.182747e-01 7156.92 -2796.15 790
20 66 Ex 0.25 1.385280e+00 7330.13 -2696.15 790
20 67 Ex 0.25 1.778005e+00 7503.33 -2596.15 790
20 68 Ex 0.25 9.593002e-01 7676.54 -2496.15 790
20 69 Ex 0.25 5.775746e-01 7849.74 -2396.15 790
20 70 Ex 0.25 1.164793e+00 8022.95 -2296.15 790
20 71 Ex 0.25 1.374929e+00 8196.15 -2196.15 790
20 72 Ex 0.25 1.177664e+00 8369.36 -2096.15 790
20 73 Ex 0.25 1.237407e+00 8542.56 -1996.15 790
20 74 Ex 0.25 1.413661e+00 8715.77 -1896.15 790
20 75 Ex 0.25 9.885770e-01 8888.97 -1796.15 790
20 76 Ex 0.25 2.004591e+00 9062.18 -1696.15 790
20 77 Ex 0.25 1.029409e+00 9235.38 -1596.15 790
20 78 Ex 0.25 2.565423e+00 9408.59 -1496.15 790
20 79 Ex 0.25 1.535722e+00 9581.79 -1396.15 790
20 80 Ex 0.25 2.977302e+00 9755 -1296.15 790
20 81 Ex 0.25 3.030483e+00 9928.2 -1196.15 790
20 82 Ex 0.25 1.316643e+00 -5428.2 -6598.08 790
20 83 Ex 0.25 6.180509e-01 -5255 -6498.08 790
20 84 Ex 0.25 1.039061e+00 -5081.79 -6398.08 790
20 85 Ex 0.25 2.266438e-01 -4908.59 -6298.08 790
20 86 Ex 0.25 1.809317e+00 -4735.38 -6198.08 790
20 87 Ex 0.25 1.175240e+00 -4562.18 -6098.08 790
20 88 Ex 0.25 9.185510e-01 -4388.97 -5998.08 790
20 89 Ex 0.25 4.722267e-01 -4215.77 -5898.08 790
20 90 Ex 0.25 1.359040e+00 -4042.56 -5798.08 790
20 91 Ex 0.25 1.837957e+00 -3869.36 -5698.08 790
20 92 Ex 0.25 4.469188e-01 -3696.15 -5598.08 790
20 93 Ex 0.25 8.252313e-01 -3522.95 -5498.08 790
20 94 Ex 0.25 2.301155e+00 -3349.74 -5398.08 790
20 95 Ex 0.25 5.837545e-01 -3176.54 -5298.08 790
20 96 Ex 0.25 2.355629e-01 -3003.33 -5198.08 790
20 97 Ex 0.25 2.484458e-02 -2830.13 -5098.08 790
20 98 Ex 0.25 1.016418e+00 -2656.92 -4998.08 790
20 99 Ex 0.25 7.422347e-01 -2483.72 -4898.08 790
20 100 Ex 0.25 7.983558e-01 -2310.51 -4798.08 790
20 101 Ex 0.25 5.939276e-02 -2137.31 -4698.08 790
20 102 Ex 0.25 1.121509e+00 -1964.1 -4598.08 790
20 103 Ex 0.25 1.221184e+00 -1790.9 -4498.08 790
20 104 Ex 0.25 2.339687e-01 -1617.69 -4398.08 790
20 105 Ex 0.25 2.116001e+00 -1444.49 -4298.08 790
20 106 Ex 0.25 1.318212e+00 -1271.28 -4198.08 790
20 107 Ex 0.25 9.256862e-01 -1098.08 -4098.08 790
20 108 Ex 0.25 1.435623e+00 -924.871 -3998.08 790
20 109 Ex 0.25 3.521792e-01 -751.666 -3898.08 790
20 110 Ex 0.25 1.914929e+00 -578.461 -3798.08 790
20 111 Ex 0.25 1.986027e+00 -405.256 -3698.08 790
20 112 Ex 0.25 1.108014e+00 -232.051 -3598.08 790
20 113 Ex 0.25 1.595796e+00 -58.8457 -3498.08 790
20 114 Ex 0.25 1.129408e+00 114.359 -3398.08 790
20 115 Ex 0.25 7.321270e-01 287.564 -3298.08 790
20 116 Ex 0.25 7.926606e-01 460.77 -3198.08 790
20 117 Ex 0.25 1.025122e+00 633.975 -3098.08 790
20 118 Ex 0.25 6.184564e-01 807.18 -2998.08 790
20 119 Ex 0.25 5.744298e-01 980.385 -2898.08 790
20 120 Ex 0.25 1.544206e+00 1153.59 -2798.08 790
20 121 Ex 0.25 1.933644e+00 1326.79 -2698.08 790
20 122 Ex 0.25 1.728341e+00 1500 -2598.08 790
20 123 Ex 0.25 3.272862e-01 1673.21 -2498.08 790
20 124 Ex 0.25 1.050647e+00 1846.41 -2398.08 790
20 125 Ex 0.25 9.072500e-01 2019.62 -2298.08 790
20 126 Ex 0.25 1.540613e+00 2192.82 -2198.08 790
20 127 Ex 0.25 7.024061e-01 2366.03 -2098.08 790
20 128 Ex 0.25 3.769043e-01 2539.23 -1998.08 790
20 129 Ex 0.25 6.730989e-01 2712.44 -1898.08 790
20 130 Ex 0.25 6.507366e-01 2885.64 -1798.08 790
20 131 Ex 0.25 1.370140e+00 3058.85 -1698.08 790
20 132 Ex 0.25 6.021874e-01 3232.05 -1598.08 790
20 133 Ex 0.25 1.039930e+00 3405.26 -1498.08 790
20 134 Ex 0.25 8.714442e-01 3578.46 -1398.08 790
20 135 Ex 0.25 2.270571e+00 3751.67 -1298.08 790
20 136 Ex 0.25 8.247671e-01 3924.87 -1198.08 790
20 137 Ex 0.25 9.560207e-01 4098.08 -1098.08 790
20 138 Ex 0.25 8.587815e-01 4271.28 -998.076 790
20 139 Ex 0.25 9.217103e-01 4444.49 -898.076 790
20 140 Ex 0.25 9.136604e-01 4617.69 -798.076 790
20 141 Ex 0.25 7.809874e-01 4790.9 -698.076 790
20 142 Ex 0.25 6.206180e-01 4964.1 -598.076 790
20 143 Ex 0.25 2.058618e+00 5137.31 -498.076 790
20 144 Ex 0.25 2.962326e+00 5310.51 -398.076 790
20 145 Ex 0.25 1.995940e+00 5483.72 -298.076 790
20 146 Ex 0.25 2.006884e+00 5656.92 -198.076 790
20 147 Ex 0.25 9.258463e-01 5830.13 -98.0762 790
20 148 Ex 0.25 1.026415e+00 6003.33 1.92383 790
