iTx iRx chrec frequency/Hz RMSE x y z
12 1 Ex 0.25 2.187330e-01 -3928.2 -9196.15 790
12 2 Ex 0.25 7.217883e-01 -3755 -9096.15 790
12 3 Ex 0.25 1.708131e+00 -3581.79 -8996.15 790
12 4 Ex 0.25 1.120454e+00 -3408.59 -8896.15 790
12 5 Ex 0.25 7.531509e-01 -3235.38 -8796.15 790
12 6 Ex 0.25 1.023389e+00 -3062.18 -8696.15 790
12 7 Ex 0.25 6.855263e-01 -2888.97 -8596.15 790
12 8 Ex 0.25 7.024857e-01 -2715.77 -8496.15 790
12 9 Ex 0.25 1.802889e-01 -2542.56 -8396.15 790
12 10 Ex 0.25 2.315532e-01 -2369.36 -8296.15 790
12 11 Ex 0.25 1.336623e+00 -2196.15 -8196.15 790
12 12 Ex 0.25 9.176347e-01 -2022.95 -8096.15 790
12 13 Ex 0.25 1.083245e+00 -1849.74 -7996.15 790
12 14 Ex 0.25 1.436087e+00 -1676.54 -7896.15 790
12 15 Ex 0.25 1.531227e+00 -1503.33 -7796.15 790
12 16 Ex 0.25 6.399976e-01 -1330.13 -7696.15 790
12 17 Ex 0.25 1.427095e+00 -1156.92 -7596.15 790
12 18 Ex 0.25 2.212337e+00 -983.717 -7496.15 790
12 19 Ex 0.25 1.537870e+00 -810.512 -7396.15 790
12 20 Ex 0.25 2.974839e+00 -637.307 -7296.15 790
12 21 Ex 0.25 1.925339e+00 -464.102 -7196.15 790
12 22 Ex 0.25 8.936066e-01 -290.896 -7096.15 790
12 23 Ex 0.25 1.645228e+00 -117.691 -6996.15 790
12 24 Ex 0.25 1.227035e+00 55.5137 -6896.15 790
12 25 Ex 0.25 1.367556e+00 228.719 -6796.15 790
12 26 Ex 0.25 1.722767e-01 401.924 -6696.15 790
12 27 Ex 0.25 1.762779e+00 575.129 -6596.15 790
12 28 Ex 0.25 2.813652e+00 748.334 -6496.15 790
12 29 Ex 0.25 1.911194e+00 921.539 -6396.15 790
12 30 Ex 0.25 9.778968e-01 1094.74 -6296.15 790
12 31 Ex 0.25 1.453531e+00 1267.95 -6196.15 790
12 32 Ex 0.25 8.162132e-01 1441.15 -6096.15 790
12 33 Ex 0.25 1.941539e+00 1614.36 -5996.15 790
12 34 Ex 0.25 1.810463e+00 1787.56 -5896.15 790
12 35 Ex 0.25 1.943829e+00 1960.77 -5796.15 790
12 36 Ex 0.25 1.986982e+00 2133.97 -5696.15 790
12 37 Ex 0.25 9.325960e-01 2307.18 -5596.15 790
12 38 Ex 0.25 2.668555e+00 2480.38 -5496.15 790
12 39 Ex 0.25 1.830589e+00 2653.59 -5396.15 790
12 40 Ex 0.25 1.215390e+00 2826.79 -5296.15 790
12 41 Ex 0.25 9.044113e-01 3000 -5196.15 790
12 42 Ex 0.25 1.816266e+00 3173.21 -5096.15 790
12 43 Ex 0.25 1.905966e+00 3346.41 -4996.15 790
12 44 Ex 0.25 1.796100e+00 3519.62 -4896.15 790
