iTx iRx chrec frequency/Hz RMSE x y z
17 1 Ex 0.25 6.981488e-01 -3928.2 -9196.15 790
17 2 Ex 0.25 1.103238e+00 -3755 -9096.15 790
17 3 Ex 0.25 1.556730e+00 -3581.79 -8996.15 790
17 4 Ex 0.25 1.033481e+00 -3408.59 -8896.15 790
17 5 Ex 0.25 1.167076e+00 -3235.38 -8796.15 790
17 6 Ex 0.25 5.500254e-01 -3062.18 -8696.15 790
17 7 Ex 0.25 2.591757e-02 -2888.97 -8596.15 790
17 8 Ex 0.25 5.860661e-01 -2715.77 -8496.15 790
17 9 Ex 0.25 9.635542e-01 -2542.56 -8396.15 790
17 10 Ex 0.25 8.901159e-01 -2369.36 -8296.15 790
17 11 Ex 0.25 7.020286e-01 -2196.15 -8196.15 790
17 12 Ex 0.25 1.686386e-01 -2022.95 -8096.15 790
17 13 Ex 0.25 3.216432e-01 -1849.74 -7996.15 790
17 14 Ex 0.25 3.059059e-01 -1676.54 -7896.15 790
17 15 Ex 0.25 1.389734e+00 -1503.33 -7796.15 790
17 16 Ex 0.25 1.226402e+00 -1330.13 -7696.15 790
17 17 Ex 0.25 6.911331e-01 -1156.92 -7596.15 790
17 18 Ex 0.25 1.501253e+00 -983.717 -7496.15 790
17 19 Ex 0.25 8.173376e-01 -810.512 -7396.15 790
17 20 Ex 0.25 1.945294e+00 -637.307 -7296.15 790
17 21 Ex 0.25 8.549917e-01 -464.102 -7196.15 790
17 22 Ex 0.25 6.134606e-01 -290.896 -7096.15 790
17 23 Ex 0.25 5.392714e-01 -117.691 -6996.15 790
17 24 Ex 0.25 5.132050e-01 55.5137 -6896.15 790
17 25 Ex 0.25 3.646035e-01 228.719 -6796.15 790
17 26 Ex 0.25 9.397536e-01 401.924 -6696.15 790
17 27 Ex 0.25 7.668079e-01 575.129 -6596.15 790
17 28 Ex 0.25 2.160134e+00 748.334 -6496.15 790
17 29 Ex 0.25 5.930490e-01 921.539 -6396.15 790
17 30 Ex 0.25 4.352295e-01 1094.74 -6296.15 790
17 31 Ex 0.25 2.300035e-01 1267.95 -6196.15 790
17 32 Ex 0.25 1.067389e+00 1441.15 -6096.15 790
17 33 Ex 0.25 1.430129e+00 1614.36 -5996.15 790
17 34 Ex 0.25 1.520850e+00 1787.56 -5896.15 790
17 35 Ex 0.25 1.355218e+00 1960.77 -5796.15 790
17 36 Ex 0.25 1.038093e+00 2133.97 -5696.15 790
17 37 Ex 0.25 1.099528e+00 2307.18 -5596.15 790
17 38 Ex 0.25 2.051845e+00 2480.38 -5496.15 790
17 39 Ex 0.25 8.506033e-01 2653.59 -5396.15 790
17 40 Ex 0.25 2.184037e+00 2826.79 -5296.15 790
17 41 Ex 0.25 4.133297e-01 3000 -5196.15 790
17 42 Ex 0.25 1.009456e+00 3173.21 -5096.15 790
17 43 Ex 0.25 1.075301e+00 3346.41 -4996.15 790
17 44 Ex 0.25 1.474680e+00 3519.62 -4896.15 790
17 45 Ex 0.25 7.208849e-01 3692.82 -4796.15 790
17 46 Ex 0.25 1.442586e+00 3866.03 -4696.15 790
17 47 Ex 0.25 7.881181e-01 4039.23 -4596.15 790
17 48 Ex 0.25 7.788175e-01 4212.44 -4496.15 790
17 49 Ex 0.25 3.957124e-01 4385.64 -4396.15 790
17 50 Ex 0.25 1.193778e+00 4558.85 -4296.15 790
17 51 Ex 0.25 9.061481e-01 4732.05 -4196.15 790
17 52 Ex 0.25 2.231356e-01 4905.26 -4096.15 790
17 53 Ex 0.25 1.017045e+00 5078.46 -3996.15 790
17 54 Ex 0.25 1.555035e+00 5251.67 -3896.15 790
17 55 Ex 0.25 3.333147e-01 5424.87 -3796.15 790
17 56 Ex 0.25 1.496391e+00 5598.08 -3696.15 790
17 57 Ex 0.25 3.671198e-01 5771.28 -3596.15 790
17 58 Ex 0.25 8.653129e-01 5944.49 -3496.15 790
17 59 Ex 0.25 7.982742e-01 6117.69 -3396.15 790
17 60 Ex 0.25 8.889862e-01 6290.9 -3296.15 790
17 61 Ex 0.25 1.300960e+00 6464.1 -3196.15 790
17 62 Ex 0.25 1.882268e+00 6637.31 -3096.15 790
17 63 Ex 0.25 5.858668e-01 6810.51 -2996.15 790
17 64 Ex 0.25 2.101850e+00 6983.72 -2896.15 790
17 65 Ex 0.25 5.565256e-01 7156.92 -2796.15 790
17 66 Ex 0.25 1.228665e+00 7330.13 -2696.15 790
17 67 Ex 0.25 1.216717e+00 7503.33 -2596.15 790
17 68 Ex 0.25 7.157639e-01 7676.54 -2496.15 790
17 69 Ex 0.25 1.013572e+00 7849.74 -2396.15 790
17 70 Ex 0.25 5.081844e-01 8022.95 -2296.15 790
