iTx iRx chrec frequency/Hz RMSE x y z
15 1 Ex 0.25 8.891090e-01 -3928.2 -9196.15 790
15 2 Ex 0.25 1.208989e+00 -3755 -9096.15 790
15 3 Ex 0.25 1.725860e+00 -3581.79 -8996.15 790
15 4 Ex 0.25 8.541303e-01 -3408.59 -8896.15 790
15 5 Ex 0.25 1.390759e+00 -3235.38 -8796.15 790
15 6 Ex 0.25 3.087176e-01 -3062.18 -8696.15 790
15 7 Ex 0.25 2.887526e-01 -2888.97 -8596.15 790
15 8 Ex 0.25 3.363331e-01 -2715.77 -8496.15 790
15 9 Ex 0.25 9.436371e-01 -2542.56 -8396.15 790
15 10 Ex 0.25 8.139774e-01 -2369.36 -8296.15 790
15 11 Ex 0.25 1.052654e+00 -2196.15 -8196.15 790
15 12 Ex 0.25 5.582204e-01 -2022.95 -8096.15 790
15 13 Ex 0.25 1.810031e-01 -1849.74 -7996.15 790
15 14 Ex 0.25 5.343286e-01 -1676.54 -7896.15 790
15 15 Ex 0.25 9.331675e-01 -1503.33 -7796.15 790
15 16 Ex 0.25 9.057561e-01 -1330.13 -7696.15 790
15 17 Ex 0.25 2.803740e-01 -1156.92 -7596.15 790
15 18 Ex 0.25 1.106910e+00 -983.717 -7496.15 790
15 19 Ex 0.25 3.886713e-01 -810.512 -7396.15 790
15 20 Ex 0.25 1.842233e+00 -637.307 -7296.15 790
15 21 Ex 0.25 8.442050e-01 -464.102 -7196.15 790
15 22 Ex 0.25 3.918907e-01 -290.896 -7096.15 790
15 23 Ex 0.25 7.070613e-01 -117.691 -6996.15 790
15 24 Ex 0.25 1.327732e+00 55.5137 -6896.15 790
15 25 Ex 0.25 8.898163e-01 228.719 -6796.15 790
15 26 Ex 0.25 9.389961e-01 401.924 -6696.15 790
15 27 Ex 0.25 1.069461e+00 575.129 -6596.15 790
15 28 Ex 0.25 1.480499e+00 748.334 -6496.15 790
15 29 Ex 0.25 1.050666e+00 921.539 -6396.15 790
15 30 Ex 0.25 9.891393e-01 1094.74 -6296.15 790
15 31 Ex 0.25 7.761680e-01 1267.95 -6196.15 790
15 32 Ex 0.25 9.214922e-01 1441.15 -6096.15 790
15 33 Ex 0.25 4.515940e-01 1614.36 -5996.15 790
15 34 Ex 0.25 6.455506e-01 1787.56 -5896.15 790
15 35 Ex 0.25 4.347791e-01 1960.77 -5796.15 790
15 36 Ex 0.25 1.708188e+00 2133.97 -5696.15 790
15 37 Ex 0.25 1.145391e+00 2307.18 -5596.15 790
15 38 Ex 0.25 1.325919e+00 2480.38 -5496.15 790
15 39 Ex 0.25 1.629448e-01 2653.59 -5396.15 790
15 40 Ex 0.25 2.857615e+00 2826.79 -5296.15 790
15 41 Ex 0.25 8.766843e-01 3000 -5196.15 790
15 42 Ex 0.25 6.483448e-01 3173.21 -5096.15 790
15 43 Ex 0.25 6.114265e-01 3346.41 -4996.15 790
15 44 Ex 0.25 1.691116e+00 3519.62 -4896.15 790
15 45 Ex 0.25 4.749722e-01 3692.82 -4796.15 790
15 46 Ex 0.25 1.682011e+00 3866.03 -4696.15 790
15 47 Ex 0.25 6.555175e-01 4039.23 -4596.15 790
15 48 Ex 0.25 9.678192e-01 4212.44 -4496.15 790
15 49 Ex 0.25 4.915623e-01 4385.64 -4396.15 790
15 50 Ex 0.25 8.257055e-01 4558.85 -4296.15 790
15 51 Ex 0.25 8.625888e-01 4732.05 -4196.15 790
15 52 Ex 0.25 3.261436e-01 4905.26 -4096.15 790
15 53 Ex 0.25 1.540938e+00 5078.46 -3996.15 790
15 54 Ex 0.25 1.711469e+00 5251.67 -3896.15 790
15 55 Ex 0.25 8.063319e-01 5424.87 -3796.15 790
15 56 Ex 0.25 7.460315e-01 5598.08 -3696.15 790
15 57 Ex 0.25 1.266428e+00 5771.28 -3596.15 790
15 58 Ex 0.25 1.082731e+00 5944.49 -3496.15 790
15 59 Ex 0.25 1.268216e+00 6117.69 -3396.15 790
15 60 Ex 0.25 1.825951e+00 6290.9 -3296.15 790
15 61 Ex 0.25 2.149604e+00 6464.1 -3196.15 790
15 62 Ex 0.25 1.562168e+00 6637.31 -3096.15 790
15 63 Ex 0.25 1.525860e+00 6810.51 -2996.15 790
15 64 Ex 0.25 2.706290e+00 6983.72 -2896.15 790
15 65 Ex 0.25 1.071165e+00 7156.92 -2796.15 790
15 66 Ex 0.25 2.429622e-01 7330.13 -2696.15 790
15 67 Ex 0.25 1.831479e+00 7503.33 -2596.15 790
15 68 Ex 0.25 5.141141e-01 7676.54 -2496.15 790
15 69 Ex 0.25 1.195514e+00 7849.74 -2396.15 790
15 70 Ex 0.25 1.011515e+00 8022.95 -2296.15 790
15 71 Ex 0.25 2.224017e+00 8196.15 -2196.15 790
15 72 Ex 0.25 1.063873e+00 8369.36 -2096.15 790
15 73 Ex 0.25 1.380768e+00 8542.56 -1996.15 790
